Code (Data),Stand-alone mental health legislation,Stand-alone policy or plan for mental health,Year (Data),Year (Sizing),Comet Size
AFG,Yes,Yes,1/1/2017,2017-01-01,3
AGO,No,No,1/1/2017,2017-01-01,3
ALB,Yes,Yes,1/1/2017,2017-01-01,3
AND,No data,No data,1/1/2017,2017-01-01,3
ARE,Yes,Yes,1/1/2017,2017-01-01,3
ARG,Yes,Yes,1/1/2017,2017-01-01,3
ARM,Yes,Yes,1/1/2017,2017-01-01,3
ASM,No data,No data,1/1/2017,2017-01-01,3
ATG,Yes,Yes,1/1/2017,2017-01-01,3
AUS,Yes,Yes,1/1/2017,2017-01-01,3
AUT,No,No,1/1/2017,2017-01-01,3
AZE,Yes,Yes,1/1/2017,2017-01-01,3
BDI,No,Yes,1/1/2017,2017-01-01,3
BEL,Yes,Yes,1/1/2017,2017-01-01,3
BEN,No,Yes,1/1/2017,2017-01-01,3
BFA,No,Yes,1/1/2017,2017-01-01,3
BGD,No,No,1/1/2017,2017-01-01,3
BGR,No,No,1/1/2017,2017-01-01,3
BHR,No,Yes,1/1/2017,2017-01-01,3
BHS,Yes,Yes,1/1/2017,2017-01-01,3
BIH,Yes,Yes,1/1/2017,2017-01-01,3
BLR,Yes,Yes,1/1/2017,2017-01-01,3
BLZ,No,Yes,1/1/2017,2017-01-01,3
BMU,No data,No data,1/1/2017,2017-01-01,3
BOL,No,Yes,1/1/2017,2017-01-01,3
BRA,Yes,Yes,1/1/2017,2017-01-01,3
BRB,Yes,Yes,1/1/2017,2017-01-01,3
BRN,Yes,No,1/1/2017,2017-01-01,3
BTN,No,Yes,1/1/2017,2017-01-01,3
BWA,Yes,Yes,1/1/2017,2017-01-01,3
CAF,No,Yes,1/1/2017,2017-01-01,3
CAN,Yes,Yes,1/1/2017,2017-01-01,3
CHE,No,Yes,1/1/2017,2017-01-01,3
CHL,No,Yes,1/1/2017,2017-01-01,3
CHN,Yes,Yes,1/1/2017,2017-01-01,3
CIV,No,Yes,1/1/2017,2017-01-01,3
CMR,No,Yes,1/1/2017,2017-01-01,3
COD,Yes,No data,1/1/2017,2017-01-01,3
COG,No,Yes,1/1/2017,2017-01-01,3
COL,Yes,Yes,1/1/2017,2017-01-01,3
COM,Yes,No,1/1/2017,2017-01-01,3
CPV,Yes,Yes,1/1/2017,2017-01-01,3
CRI,No,Yes,1/1/2017,2017-01-01,3
CUB,No,No,1/1/2017,2017-01-01,3
CYP,Yes,Yes,1/1/2017,2017-01-01,3
CZE,No,Yes,1/1/2017,2017-01-01,3
DEU,Yes,Yes,1/1/2017,2017-01-01,3
DJI,No,No,1/1/2017,2017-01-01,3
DMA,Yes,No,1/1/2017,2017-01-01,3
DNK,Yes,Yes,1/1/2017,2017-01-01,3
DOM,Yes,Yes,1/1/2017,2017-01-01,3
DZA,Yes,No,1/1/2017,2017-01-01,3
ECU,No,Yes,1/1/2017,2017-01-01,3
EGY,Yes,Yes,1/1/2017,2017-01-01,3
ERI,No,Yes,1/1/2017,2017-01-01,3
ESP,No,Yes,1/1/2017,2017-01-01,3
EST,Yes,Yes,1/1/2017,2017-01-01,3
ETH,No,No,1/1/2017,2017-01-01,3
FIN,Yes,No,1/1/2017,2017-01-01,3
FJI,Yes,Yes,1/1/2017,2017-01-01,3
FRA,No,Yes,1/1/2017,2017-01-01,3
FSM,Yes,No,1/1/2017,2017-01-01,3
GAB,Yes,Yes,1/1/2017,2017-01-01,3
GBR,Yes,Yes,1/1/2017,2017-01-01,3
GEO,Yes,Yes,1/1/2017,2017-01-01,3
GHA,Yes,Yes,1/1/2017,2017-01-01,3
GIN,No,Yes,1/1/2017,2017-01-01,3
GMB,Yes,Yes,1/1/2017,2017-01-01,3
GNB,No,No,1/1/2017,2017-01-01,3
GNQ,Yes,Yes,1/1/2017,2017-01-01,3
GRC,Yes,Yes,1/1/2017,2017-01-01,3
GRD,Yes,No,1/1/2017,2017-01-01,3
GRL,No data,No data,1/1/2017,2017-01-01,3
GTM,No,No data,1/1/2017,2017-01-01,3
GUM,No data,No data,1/1/2017,2017-01-01,3
GUY,Yes,Yes,1/1/2017,2017-01-01,3
HND,No,Yes,1/1/2017,2017-01-01,3
HRV,Yes,Yes,1/1/2017,2017-01-01,3
HTI,No,Yes,1/1/2017,2017-01-01,3
HUN,No,No,1/1/2017,2017-01-01,3
IDN,Yes,Yes,1/1/2017,2017-01-01,3
IND,Yes,Yes,1/1/2017,2017-01-01,3
IRL,Yes,Yes,1/1/2017,2017-01-01,3
IRN,Yes,Yes,1/1/2017,2017-01-01,3
IRQ,Yes,Yes,1/1/2017,2017-01-01,3
ISL,No,Yes,1/1/2017,2017-01-01,3
ISR,Yes,Yes,1/1/2017,2017-01-01,3
ITA,Yes,Yes,1/1/2017,2017-01-01,3
JAM,Yes,Yes,1/1/2017,2017-01-01,3
JOR,No,Yes,1/1/2017,2017-01-01,3
JPN,Yes,Yes,1/1/2017,2017-01-01,3
KAZ,No data,No data,1/1/2017,2017-01-01,3
KEN,Yes,Yes,1/1/2017,2017-01-01,3
KGZ,Yes,Yes,1/1/2017,2017-01-01,3
KHM,No,Yes,1/1/2017,2017-01-01,3
KIR,Yes,Yes,1/1/2017,2017-01-01,3
KOR,Yes,Yes,1/1/2017,2017-01-01,3
KWT,No,No,1/1/2017,2017-01-01,3
LAO,No,Yes,1/1/2017,2017-01-01,3
LBN,Yes,Yes,1/1/2017,2017-01-01,3
LBR,Yes,Yes,1/1/2017,2017-01-01,3
LBY,No,No,1/1/2017,2017-01-01,3
LCA,Yes,No,1/1/2017,2017-01-01,3
LKA,Yes,Yes,1/1/2017,2017-01-01,3
LSO,Yes,No,1/1/2017,2017-01-01,3
LTU,Yes,Yes,1/1/2017,2017-01-01,3
LUX,Yes,No,1/1/2017,2017-01-01,3
LVA,No,No,1/1/2017,2017-01-01,3
MAR,Yes,Yes,1/1/2017,2017-01-01,3
MDA,Yes,Yes,1/1/2017,2017-01-01,3
MDG,Yes,Yes,1/1/2017,2017-01-01,3
MDV,No,Yes,1/1/2017,2017-01-01,3
MEX,Yes,Yes,1/1/2017,2017-01-01,3
MHL,No,Yes,1/1/2017,2017-01-01,3
MKD,Yes,Yes,1/1/2017,2017-01-01,3
MLI,No,No,1/1/2017,2017-01-01,3
MLT,Yes,Yes,1/1/2017,2017-01-01,3
MMR,Yes,Yes,1/1/2017,2017-01-01,3
MNE,Yes,Yes,1/1/2017,2017-01-01,3
MNG,Yes,No,1/1/2017,2017-01-01,3
MNP,No data,No data,1/1/2017,2017-01-01,3
MOZ,No,Yes,1/1/2017,2017-01-01,3
MRT,No,Yes,1/1/2017,2017-01-01,3
MUS,Yes,Yes,1/1/2017,2017-01-01,3
MWI,Yes,Yes,1/1/2017,2017-01-01,3
MYS,Yes,Yes,1/1/2017,2017-01-01,3
NAM,Yes,No,1/1/2017,2017-01-01,3
NER,No,Yes,1/1/2017,2017-01-01,3
NGA,No,No,1/1/2017,2017-01-01,3
NIC,Yes,No,1/1/2017,2017-01-01,3
NLD,Yes,Yes,1/1/2017,2017-01-01,3
NOR,Yes,Yes,1/1/2017,2017-01-01,3
NPL,No,Yes,1/1/2017,2017-01-01,3
NZL,Yes,Yes,1/1/2017,2017-01-01,3
OMN,No,Yes,1/1/2017,2017-01-01,3
PAK,Yes,No,1/1/2017,2017-01-01,3
PAN,No,Yes,1/1/2017,2017-01-01,3
PER,Yes,Yes,1/1/2017,2017-01-01,3
PHL,2018,Yes,1/1/2017,2017-01-01,3
PNG,Yes,Yes,1/1/2017,2017-01-01,3
POL,Yes,Yes,1/1/2017,2017-01-01,3
PRI,No data,No data,1/1/2017,2017-01-01,3
PRK,No data,No data,1/1/2017,2017-01-01,3
PRT,Yes,Yes,1/1/2017,2017-01-01,3
PRY,No,Yes,1/1/2017,2017-01-01,3
PSE,No data,No data,1/1/2017,2017-01-01,3
QAT,Yes,Yes,1/1/2017,2017-01-01,3
ROU,Yes,Yes,1/1/2017,2017-01-01,3
RUS,Yes,Yes,1/1/2017,2017-01-01,3
RWA,No,Yes,1/1/2017,2017-01-01,3
SAU,Yes,Yes,1/1/2017,2017-01-01,3
SDN,Yes,Yes,1/1/2017,2017-01-01,3
SEN,Yes,Yes,1/1/2017,2017-01-01,3
SGP,Yes,Yes,1/1/2017,2017-01-01,3
SLB,Yes,No data,1/1/2017,2017-01-01,3
SLE,No,Yes,1/1/2017,2017-01-01,3
SLV,No,Yes,1/1/2017,2017-01-01,3
SOM,No,No,1/1/2017,2017-01-01,3
SRB,Yes,Yes,1/1/2017,2017-01-01,3
SSD,No,No,1/1/2017,2017-01-01,3
STP,No,Yes,1/1/2017,2017-01-01,3
SUR,Yes,Yes,1/1/2017,2017-01-01,3
SVK,Yes,Yes,1/1/2017,2017-01-01,3
SVN,Yes,No,1/1/2017,2017-01-01,3
SWE,No,Yes,1/1/2017,2017-01-01,3
SWZ,Yes,No,1/1/2017,2017-01-01,3
SYC,Yes,No,1/1/2017,2017-01-01,3
SYR,No,Yes,1/1/2017,2017-01-01,3
TCD,No,Yes,1/1/2017,2017-01-01,3
TGO,No,Yes,1/1/2017,2017-01-01,3
THA,Yes,Yes,1/1/2017,2017-01-01,3
TJK,Yes,No,1/1/2017,2017-01-01,3
TKM,Yes,Yes,1/1/2017,2017-01-01,3
TLS,No,Yes,1/1/2017,2017-01-01,3
TON,Yes,Yes,1/1/2017,2017-01-01,3
TTO,Yes,Yes,1/1/2017,2017-01-01,3
TUN,No,Yes,1/1/2017,2017-01-01,3
TUR,No,Yes,1/1/2017,2017-01-01,3
TWN,No data,No data,1/1/2017,2017-01-01,3
TZA,Yes,Yes,1/1/2017,2017-01-01,3
UGA,Yes,Yes,1/1/2017,2017-01-01,3
UKR,Yes,No,1/1/2017,2017-01-01,3
URY,Yes,Yes,1/1/2017,2017-01-01,3
USA,No,Yes,1/1/2017,2017-01-01,3
UZB,Yes,Yes,1/1/2017,2017-01-01,3
VCT,Yes,No,1/1/2017,2017-01-01,3
VEN,No data,No data,1/1/2017,2017-01-01,3
VIR,No data,No data,1/1/2017,2017-01-01,3
VNM,No,No,1/1/2017,2017-01-01,3
VUT,Yes,Yes,1/1/2017,2017-01-01,3
WSM,Yes,Yes,1/1/2017,2017-01-01,3
YEM,No,No,1/1/2017,2017-01-01,3
ZAF,Yes,Yes,1/1/2017,2017-01-01,3
ZMB,Yes,Yes,1/1/2017,2017-01-01,3
ZWE,Yes,Yes,1/1/2017,2017-01-01,3
AFG,Yes,Yes,1/1/2014,2014-01-01,1
AGO,No data,No data,1/1/2014,2014-01-01,1
ALB,Yes,Yes,1/1/2014,2014-01-01,1
AND,No data,No data,1/1/2014,2014-01-01,1
ARE,Yes,Yes,1/1/2014,2014-01-01,1
ARG,Yes,Yes,1/1/2014,2014-01-01,1
ARM,Yes,Yes,1/1/2014,2014-01-01,1
ASM,No data,No data,1/1/2014,2014-01-01,1
ATG,No data,No data,1/1/2014,2014-01-01,1
AUS,Yes,Yes,1/1/2014,2014-01-01,1
AUT,No,Yes,1/1/2014,2014-01-01,1
AZE,Yes,Yes,1/1/2014,2014-01-01,1
BDI,No,Yes,1/1/2014,2014-01-01,1
BEL,Yes,Yes,1/1/2014,2014-01-01,1
BEN,No,Yes,1/1/2014,2014-01-01,1
BFA,No,Yes,1/1/2014,2014-01-01,1
BGD,Yes,Yes,1/1/2014,2014-01-01,1
BGR,No,Yes,1/1/2014,2014-01-01,1
BHR,No,No,1/1/2014,2014-01-01,1
BHS,No data,No data,1/1/2014,2014-01-01,1
BIH,Yes,Yes,1/1/2014,2014-01-01,1
BLR,Yes,No,1/1/2014,2014-01-01,1
BLZ,No,Yes,1/1/2014,2014-01-01,1
BMU,No data,No data,1/1/2014,2014-01-01,1
BOL,No,No,1/1/2014,2014-01-01,1
BRA,Yes,Yes,1/1/2014,2014-01-01,1
BRB,Yes,Yes,1/1/2014,2014-01-01,1
BRN,Yes,Yes,1/1/2014,2014-01-01,1
BTN,No,No,1/1/2014,2014-01-01,1
BWA,Yes,Yes,1/1/2014,2014-01-01,1
CAF,No,Yes,1/1/2014,2014-01-01,1
CAN,Yes,No data,1/1/2014,2014-01-01,1
CHE,No,No,1/1/2014,2014-01-01,1
CHL,No,Yes,1/1/2014,2014-01-01,1
CHN,Yes,Yes,1/1/2014,2014-01-01,1
CIV,No,Yes,1/1/2014,2014-01-01,1
CMR,No data,No data,1/1/2014,2014-01-01,1
COD,Yes,No data,1/1/2014,2014-01-01,1
COG,No,No data,1/1/2014,2014-01-01,1
COL,Yes,Yes,1/1/2014,2014-01-01,1
COM,No data,No data,1/1/2014,2014-01-01,1
CPV,No data,No data,1/1/2014,2014-01-01,1
CRI,No,Yes,1/1/2014,2014-01-01,1
CUB,No,No,1/1/2014,2014-01-01,1
CYP,Yes,Yes,1/1/2014,2014-01-01,1
CZE,No,Yes,1/1/2014,2014-01-01,1
DEU,No,No,1/1/2014,2014-01-01,1
DJI,No,No,1/1/2014,2014-01-01,1
DMA,Yes,No,1/1/2014,2014-01-01,1
DNK,Yes,Yes,1/1/2014,2014-01-01,1
DOM,Yes,Yes,1/1/2014,2014-01-01,1
DZA,Yes,Yes,1/1/2014,2014-01-01,1
ECU,No,Yes,1/1/2014,2014-01-01,1
EGY,Yes,No,1/1/2014,2014-01-01,1
ERI,No,Yes,1/1/2014,2014-01-01,1
ESP,No,Yes,1/1/2014,2014-01-01,1
EST,Yes,No,1/1/2014,2014-01-01,1
ETH,No,Yes,1/1/2014,2014-01-01,1
FIN,Yes,Yes,1/1/2014,2014-01-01,1
FJI,Yes,Yes,1/1/2014,2014-01-01,1
FRA,No,Yes,1/1/2014,2014-01-01,1
FSM,No,Yes,1/1/2014,2014-01-01,1
GAB,No data,No data,1/1/2014,2014-01-01,1
GBR,Yes,Yes,1/1/2014,2014-01-01,1
GEO,Yes,Yes,1/1/2014,2014-01-01,1
GHA,Yes,Yes,1/1/2014,2014-01-01,1
GIN,No,Yes,1/1/2014,2014-01-01,1
GMB,No,Yes,1/1/2014,2014-01-01,1
GNB,No data,No data,1/1/2014,2014-01-01,1
GNQ,No data,No data,1/1/2014,2014-01-01,1
GRC,Yes,Yes,1/1/2014,2014-01-01,1
GRD,Yes,Yes,1/1/2014,2014-01-01,1
GRL,No data,No data,1/1/2014,2014-01-01,1
GTM,No,Yes,1/1/2014,2014-01-01,1
GUM,No data,No data,1/1/2014,2014-01-01,1
GUY,Yes,Yes,1/1/2014,2014-01-01,1
HND,No,Yes,1/1/2014,2014-01-01,1
HRV,Yes,Yes,1/1/2014,2014-01-01,1
HTI,No,No,1/1/2014,2014-01-01,1
HUN,No,No,1/1/2014,2014-01-01,1
IDN,Yes,Yes,1/1/2014,2014-01-01,1
IND,Yes,Yes,1/1/2014,2014-01-01,1
IRL,No data,No data,1/1/2014,2014-01-01,1
IRN,Yes,Yes,1/1/2014,2014-01-01,1
IRQ,Yes,Yes,1/1/2014,2014-01-01,1
ISL,No,No,1/1/2014,2014-01-01,1
ISR,Yes,Yes,1/1/2014,2014-01-01,1
ITA,Yes,Yes,1/1/2014,2014-01-01,1
JAM,Yes,Yes,1/1/2014,2014-01-01,1
JOR,No,Yes,1/1/2014,2014-01-01,1
JPN,Yes,Yes,1/1/2014,2014-01-01,1
KAZ,No data,No data,1/1/2014,2014-01-01,1
KEN,Yes,No,1/1/2014,2014-01-01,1
KGZ,Yes,Yes,1/1/2014,2014-01-01,1
KHM,No,Yes,1/1/2014,2014-01-01,1
KIR,Yes,No data,1/1/2014,2014-01-01,1
KOR,Yes,Yes,1/1/2014,2014-01-01,1
KWT,No,No,1/1/2014,2014-01-01,1
LAO,No,Yes,1/1/2014,2014-01-01,1
LBN,Yes,No,1/1/2014,2014-01-01,1
LBR,No,Yes,1/1/2014,2014-01-01,1
LBY,Yes,No,1/1/2014,2014-01-01,1
LCA,Yes,Yes,1/1/2014,2014-01-01,1
LKA,Yes,Yes,1/1/2014,2014-01-01,1
LSO,Yes,No,1/1/2014,2014-01-01,1
LTU,Yes,Yes,1/1/2014,2014-01-01,1
LUX,Yes,Yes,1/1/2014,2014-01-01,1
LVA,No,Yes,1/1/2014,2014-01-01,1
MAR,Yes,Yes,1/1/2014,2014-01-01,1
MDA,Yes,Yes,1/1/2014,2014-01-01,1
MDG,Yes,Yes,1/1/2014,2014-01-01,1
MDV,No,No,1/1/2014,2014-01-01,1
MEX,No,Yes,1/1/2014,2014-01-01,1
MHL,No,Yes,1/1/2014,2014-01-01,1
MKD,Yes,Yes,1/1/2014,2014-01-01,1
MLI,No,Yes,1/1/2014,2014-01-01,1
MLT,Yes,Yes,1/1/2014,2014-01-01,1
MMR,Yes,Yes,1/1/2014,2014-01-01,1
MNE,Yes,Yes,1/1/2014,2014-01-01,1
MNG,No data,No data,1/1/2014,2014-01-01,1
MNP,No data,No data,1/1/2014,2014-01-01,1
MOZ,No,Yes,1/1/2014,2014-01-01,1
MRT,No,Yes,1/1/2014,2014-01-01,1
MUS,Yes,No,1/1/2014,2014-01-01,1
MWI,Yes,Yes,1/1/2014,2014-01-01,1
MYS,Yes,Yes,1/1/2014,2014-01-01,1
NAM,Yes,Yes,1/1/2014,2014-01-01,1
NER,No,No,1/1/2014,2014-01-01,1
NGA,No,Yes,1/1/2014,2014-01-01,1
NIC,No data,No data,1/1/2014,2014-01-01,1
NLD,No,Yes,1/1/2014,2014-01-01,1
NOR,No,No,1/1/2014,2014-01-01,1
NPL,No,Yes,1/1/2014,2014-01-01,1
NZL,Yes,Yes,1/1/2014,2014-01-01,1
OMN,No,Yes,1/1/2014,2014-01-01,1
PAK,Yes,Yes,1/1/2014,2014-01-01,1
PAN,No,Yes,1/1/2014,2014-01-01,1
PER,No,Yes,1/1/2014,2014-01-01,1
PHL,No,Yes,1/1/2014,2014-01-01,1
PNG,Yes,Yes,1/1/2014,2014-01-01,1
POL,Yes,Yes,1/1/2014,2014-01-01,1
PRI,No data,No data,1/1/2014,2014-01-01,1
PRK,No data,No data,1/1/2014,2014-01-01,1
PRT,Yes,Yes,1/1/2014,2014-01-01,1
PRY,No,Yes,1/1/2014,2014-01-01,1
PSE,No data,No data,1/1/2014,2014-01-01,1
QAT,No,Yes,1/1/2014,2014-01-01,1
ROU,Yes,Yes,1/1/2014,2014-01-01,1
RUS,Yes,Yes,1/1/2014,2014-01-01,1
RWA,No,Yes,1/1/2014,2014-01-01,1
SAU,Yes,Yes,1/1/2014,2014-01-01,1
SDN,Yes,Yes,1/1/2014,2014-01-01,1
SEN,Yes,No,1/1/2014,2014-01-01,1
SGP,Yes,Yes,1/1/2014,2014-01-01,1
SLB,Yes,Yes,1/1/2014,2014-01-01,1
SLE,Yes,No,1/1/2014,2014-01-01,1
SLV,No,Yes,1/1/2014,2014-01-01,1
SOM,No,No,1/1/2014,2014-01-01,1
SRB,Yes,Yes,1/1/2014,2014-01-01,1
SSD,No,No,1/1/2014,2014-01-01,1
STP,No,Yes,1/1/2014,2014-01-01,1
SUR,Yes,Yes,1/1/2014,2014-01-01,1
SVK,No data,No data,1/1/2014,2014-01-01,1
SVN,Yes,No,1/1/2014,2014-01-01,1
SWE,No,Yes,1/1/2014,2014-01-01,1
SWZ,Yes,No,1/1/2014,2014-01-01,1
SYC,Yes,No,1/1/2014,2014-01-01,1
SYR,No,Yes,1/1/2014,2014-01-01,1
TCD,No data,No data,1/1/2014,2014-01-01,1
TGO,No,Yes,1/1/2014,2014-01-01,1
THA,Yes,Yes,1/1/2014,2014-01-01,1
TJK,Yes,No,1/1/2014,2014-01-01,1
TKM,Yes,Yes,1/1/2014,2014-01-01,1
TLS,No,Yes,1/1/2014,2014-01-01,1
TON,Yes,No,1/1/2014,2014-01-01,1
TTO,Yes,Yes,1/1/2014,2014-01-01,1
TUN,Yes,Yes,1/1/2014,2014-01-01,1
TUR,No,Yes,1/1/2014,2014-01-01,1
TWN,No data,No data,1/1/2014,2014-01-01,1
TZA,Yes,No data,1/1/2014,2014-01-01,1
UGA,Yes,Yes,1/1/2014,2014-01-01,1
UKR,No data,No data,1/1/2014,2014-01-01,1
URY,Yes,Yes,1/1/2014,2014-01-01,1
USA,No,No,1/1/2014,2014-01-01,1
UZB,Yes,Yes,1/1/2014,2014-01-01,1
VCT,Yes,No,1/1/2014,2014-01-01,1
VEN,No data,No data,1/1/2014,2014-01-01,1
VIR,No data,No data,1/1/2014,2014-01-01,1
VNM,No,Yes,1/1/2014,2014-01-01,1
VUT,No,No,1/1/2014,2014-01-01,1
WSM,Yes,Yes,1/1/2014,2014-01-01,1
YEM,No,Yes,1/1/2014,2014-01-01,1
ZAF,Yes,Yes,1/1/2014,2014-01-01,1
ZMB,Yes,Yes,1/1/2014,2014-01-01,1
ZWE,Yes,Yes,1/1/2014,2014-01-01,1
